constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, 0.3, 0.4, 10], [3.0, 9.9, 1.0, 300], [0.01, 0.05, 0.01, 10], 20, 20, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  1  2  3  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 4 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       p01       p02       p03       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    87       55.03     0.710000  6.800000  0.470000  250.000000       104.40     75.20     87.80     37.60    -16.67     26.80     54.84     60.04     84.99     35.31 
    88       47.91     0.180000  4.950000  0.520000  240.000000        85.40     92.67     75.40     31.20      4.44      1.40     30.79     28.00     93.33     36.48 
    89       51.63     1.260000  7.300000  0.550000  210.000000        92.00     50.93     66.00     25.33     -7.22     75.00     51.59     58.65     90.20     13.83 
    90       47.53     1.440000  8.950000  0.450000  170.000000        80.80     47.33     52.00      1.87      5.56     75.40     49.92     63.96     84.54     13.89 
    91       48.35     0.790000  6.300000  0.550000  190.000000        74.80     68.00     69.00     17.87     10.56     35.70     43.49     54.11     84.13     25.86 
    92       49.71     0.710000  7.500000  0.460000  160.000000        66.00     67.87     45.80     20.80      8.89     46.80     56.03     59.75     89.43     35.74 
    93       45.33     0.440000  9.150000  0.580000  110.000000        80.00     79.47     48.60     17.60     -5.00     11.90     52.70     36.55     92.06     39.38 
    94       46.95     0.580000  8.050000  0.640000  90.000000        39.40     86.80     69.00     21.33      6.11     22.50     37.14     50.73     92.34     44.20 
    95       49.73     0.370000  7.950000  0.760000  80.000000        70.40     79.20     72.00     34.13      0.00     13.00     45.08     33.45     93.24     56.79 
    96       22.91     0.010000  6.800000  0.810000  110.000000        90.20      0.27      9.60      2.67     19.44      2.60     -4.05     13.09     90.66      4.63 
    97       50.74     0.560000  7.850000  0.770000  80.000000        76.80     72.00     64.40     -8.53     18.33     19.00     50.71     61.13     95.87     57.72 
    98       57.27     0.710000  7.700000  0.830000  90.000000        97.60     71.20     83.80     16.53     23.33     47.50     49.05     63.31     88.89     31.48 
    99       55.93     0.710000  5.900000  0.860000  140.000000        95.00     68.53     73.00     32.00    -14.44     53.70     59.92     71.71     90.70     29.20 
   100       36.10     0.190000  6.500000  0.780000  150.000000        -5.20    105.20     37.20     39.47     -7.78      2.20     28.89     19.31     84.67     57.04 
   101       52.74     0.950000  7.750000  0.770000  90.000000        80.00     64.13     73.80     25.33      0.56     60.90     51.98     59.45     85.94     25.31 
   102       54.07     0.600000  6.750000  0.870000  110.000000        95.20     81.87     58.60     34.67      1.11     14.00     51.35     70.22     89.52     44.20 
   103       54.30     0.400000  6.200000  0.770000  60.000000        58.60     84.53     88.60     57.60     -1.67      2.00     37.06     56.73     96.01     63.58 
   104       50.48     0.530000  5.000000  0.810000  20.000000        93.00     81.33     86.60     -8.80    -31.11     48.70     41.90     65.75     97.64     29.75 
   105       57.35     0.840000  5.500000  0.860000  50.000000        99.80     62.27     89.60     14.40     26.11     35.30     63.02     76.87     83.76     22.35 
   106       51.73     1.170000  4.250000  0.830000  100.000000        80.00     60.93     42.60     25.60    -12.78     62.40     53.33     81.27     94.60     29.32 
   107       57.06     0.910000  3.600000  0.800000  90.000000        92.80     69.07     75.40     13.07    -20.56     82.00     57.14     81.42     87.44     32.78 
   108       55.19     1.100000  5.250000  0.800000  80.000000       114.00     71.20     55.40      5.87     22.22     53.60     52.22     69.71     87.89     19.81 
   109       56.33     1.100000  5.950000  0.710000  80.000000        98.20     51.60     72.40     17.33     36.67     55.30     51.75     64.47     93.74     21.85 
   110       53.76     0.890000  6.650000  0.730000  70.000000        96.40     76.67     71.40     13.33      3.33     37.70     58.41     63.31     89.34     27.65 
   111       52.19     0.800000  6.200000  0.710000  60.000000        85.80     76.93     58.60     16.00      6.67     46.90     51.11     66.04     83.08     30.74 
   112       48.43     0.540000  5.650000  0.640000  100.000000        49.80     73.20     79.00     25.60      1.67     14.50     48.97     52.87     99.09     39.63 
   113       45.25     0.460000  7.750000  0.690000  120.000000        67.60     77.60     71.00      4.00    -16.11     30.90     39.76     42.04     90.25     45.49 
   114       54.79     0.850000  7.450000  0.640000  100.000000       100.20     72.27     71.00      3.47     15.00     61.30     60.48     58.47     81.36     24.38 
