constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCB1 , CP DavorTom , CPT Davor , Reset AllMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.240000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   184       50.55      7.15662        77.40     52.67     84.80     16.27     -2.22     40.70     62.22     67.42     74.60     31.60 
   185       54.56      7.13954        94.20     70.00     80.00     25.33     23.89     33.50     53.49     61.42     72.52     31.23 
   186       48.45      7.19655        78.00     60.40     62.20     -0.27     -0.56     63.00     40.95     67.31     77.32     36.11 
   187       52.06      7.04103       101.00     77.07     70.80      7.47     13.33     24.50     55.95     65.31     71.97     33.21 
   188       54.61      7.05840        97.80     68.53     72.20     29.87     -6.67     40.20     56.90     65.67     74.51     47.04 
   189       53.45      7.37793        80.80     61.73     77.60     20.80     17.78     40.40     66.67     70.36     69.48     28.89 
   190       50.64      7.44633        90.20     85.07     75.00     21.60    -21.67     32.40     54.52     67.56     68.66     33.02 
   191       43.43      7.42749        68.80     75.07     86.80     -4.80     -3.89     12.60     49.52     53.89     68.62     27.72 
   192       45.28      7.40841        86.40     66.40     70.00     -4.27    -23.33     23.90     68.33     67.20     67.85     30.31 
   193       50.57      7.22590       101.20     60.93     61.20      2.13     16.11     35.60     68.02     63.56     69.93     26.98 
