constructTestCases(): generating 37 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.3, -0.5, -0.5, 0.3, -0.5, -0.5], [2.3, 0.5, 0.5, 2.3, 0.5, 0.5], [0.1, 0.1, 0.1, 0.1, 0.1, 0.1], 20, 20, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  [0, 1]
Optimizer(): evals/step: 10
Optimizer(): numParams: 6 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Linear  Linear  
MABsolver_config: params: numInputs:  2  2  
MABsolver_config: params: weights:  [  1.300000  0.000000  0.000000  ]  [  0.800000  0.000000  0.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score       p00w00    p00w01    p00w02    p01w00    p01w01    p01w02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   128       53.85      1.50000  -0.10000   0.40000   0.90000   0.00000  -0.40000        75.40     66.53     74.40     17.33     33.33     48.60     53.10     58.29     86.98     24.57 
   129       50.10      1.30000  -0.10000   0.40000   0.80000   0.00000  -0.50000        74.20     66.27     76.20     16.27      2.22     40.70     47.62     53.38     98.23     25.93 
   130       58.09      1.10000  -0.20000   0.40000   0.50000   0.10000  -0.40000       106.00     87.60     74.20     57.33     29.44      6.90     54.92     57.31     83.72     23.52 
   131       44.46      1.20000  -0.30000   0.40000   0.50000   0.00000  -0.20000        93.80     70.93     83.80     22.40    -38.33     -4.60     39.21     62.25     93.24     21.85 
   132       48.62      0.80000  -0.20000   0.30000   0.70000   0.00000  -0.40000        85.20     76.27     68.20      9.33     -8.89     17.70     61.90     61.64     83.99     30.86 
   133       52.75      0.80000  -0.40000   0.50000   0.70000   0.20000  -0.30000        98.00     77.87     83.20     19.73      1.11     19.30     51.27     44.98     98.73     33.27 
   134       54.62      1.20000  -0.20000   0.20000   0.80000   0.10000  -0.30000        93.40     74.27     80.60     26.93     -6.11     34.60     54.84     61.82     94.83     30.99 
   135       54.72      1.30000  -0.20000   0.10000   0.80000   0.10000  -0.20000        90.60     65.33     79.60     17.60     33.89     36.70     46.03     60.55     96.73     20.19 
   136       51.79      1.00000  -0.10000  -0.10000   0.60000   0.30000  -0.30000        87.80     61.87     88.60     35.20      4.44     12.20     52.30     52.40     86.58     36.54 
   137       55.29      1.20000  -0.20000   0.00000   1.00000   0.10000  -0.10000        95.40     70.40     72.20     16.27     15.00     59.50     47.78     60.55     91.43     24.38 
