constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: EpsGreedy , CP DavorTom , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.140000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   152       55.77      3.80177        67.00     69.20     82.00     28.80     17.22     64.00     39.76     71.02     74.47     44.26 
   153       49.79      3.20261        60.80     78.13     66.80     21.87    -11.11     67.10     35.00     70.80     72.88     35.62 
   154       49.65      3.95704        73.40     79.73     82.00      9.60      5.00     55.80     11.51     62.65     75.42     41.42 
   155       47.85      4.14496        58.20     71.20     91.20     -0.00      8.33     59.60     18.81     68.76     70.52     31.91 
   156       51.43      3.83685        65.20     82.67     64.80     25.60     22.22     52.60     47.38     59.82     74.88     19.14 
   157       50.45      4.54403        76.00     84.27     72.20      0.53     27.78     60.60     25.40     62.84     76.73     18.15 
   158       51.18      4.61507        81.00     88.27     67.20     29.60      5.00     51.10     31.67     52.91     82.63     22.47 
   159       52.77      3.97180        77.00     81.47     81.20     18.13      4.44     64.10     31.19     67.02     77.73     25.43 
   160       45.07      4.81110        71.40     86.80     75.40     13.60     11.67     32.90     16.03     55.02     70.93     16.98 
   161       50.21      3.38139        51.60     78.53     74.40      6.13      8.33     66.50     36.43     68.33     73.97     37.90 
   162       44.45      4.11209        61.80     71.33     81.60     16.53    -12.22     44.50     13.41     63.45     77.69     26.42 
   163       51.66      3.10719        63.20     76.80     69.00      6.67     11.11     75.70     37.38     64.47     75.01     37.22 
   164       49.14      4.12150        59.00     80.80     75.20     24.80     14.44     32.50     37.14     67.56     77.01     22.96 
   165       51.24      4.12369        48.60     90.00     60.80     27.20     35.56     49.20     33.33     69.71     71.61     26.42 
   166       47.85      4.27145        59.20     83.47     77.40      0.53     22.78     35.20     12.06     71.27     76.69     39.88 
   167       49.73      3.34370        66.40     71.07     70.60     14.67     -3.33     77.30     37.86     62.91     71.16     28.70 
   168       45.52      4.02018        65.00     66.67     82.40    -11.73    -15.00     58.70     38.49     66.84     77.64     26.17 
   169       53.26      3.76427        79.20     77.20     59.00     18.40     20.56     61.20     30.95     72.58     74.10     39.44 
   170       53.03      3.92702        70.40     63.73     81.00     34.13      7.78     54.10     43.10     68.04     70.25     37.78 
   171       58.95      4.15390        81.60     83.87     88.60     48.53     26.67     60.10     25.16     61.53     78.91     34.51 
   172       41.06      4.77203        49.20     83.20     77.40      2.93    -11.67     24.00     23.57     62.11     85.08     14.81 
