constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[1.0, 10], [200.0, 5000], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP HenkyPenky , CPT Davor , Reset AllMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  10.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   113       53.65     29.56150  3023.34954        77.80     64.27     75.80     10.67     -2.22     70.50     63.89     73.75     75.78     26.30 
   114       53.26     13.64994  2065.11272        80.00     41.33     70.20     12.80     16.67     79.00     52.54     82.55     79.46     18.09 
   115       60.48     27.86717  2153.96645       114.20     72.93     65.20     13.60      6.11     71.10     57.94     75.56     90.34     37.84 
   116       52.84     27.37957  2151.09787        82.60     64.67     76.00      2.67     -8.89     48.60     60.95     81.16     84.44     36.23 
   117       47.61     19.06450  2722.73780        70.60     50.40     55.00      4.80     -7.78     61.00     53.89     76.51     88.12     23.52 
   118       54.95     37.43588  1790.37088        88.20     62.67     58.00     10.93     13.33     66.90     63.10     70.69     84.76     30.93 
   119       60.37     48.07245  2798.39074        78.00     71.87     63.80     45.33     16.11     70.70     60.63     79.16     87.80     30.25 
   120       57.32     52.88392  1968.84021        96.40     72.00     76.80     17.60      0.56     73.40     65.56     70.07     76.05     24.75 
   121       50.61     96.29606  2447.01921       101.80     63.60     58.20     13.33    -18.33     47.90     56.75     67.09     91.97     23.83 
   122       51.52     84.54223  1840.90224        55.40     61.33     82.60     14.13     12.78     39.10     56.35     65.16     95.92     32.47 
   123       52.72     95.73333  2250.39220        82.20     54.67     92.40     10.13    -22.78     62.30     50.71     72.95     90.16     34.51 
   124       53.38     90.59759  2616.56470        90.00     67.07     62.80     17.87      4.44     45.50     55.63     69.05     89.25     32.16 
   125       54.84     52.25616  3526.94857        92.00     82.53     51.60     10.67     -5.00     63.10     56.11     72.76     93.38     31.30 
   126       54.16     63.60707  4301.15505        94.40     75.07     62.20      8.00     -6.67     53.80     61.35     71.45     92.11     29.88 
   127       56.13     69.92493  3337.13342        86.40     86.80     67.20     18.67      7.22     46.00     57.62     66.58     88.44     36.36 
   128       52.79     86.93009  2451.31196        86.40     67.47     64.00     20.00     16.11     47.80     48.65     59.38     86.12     31.98 
   129       53.22     48.52120  4052.62258        83.20     71.07     78.80     -8.27    -27.78     79.20     57.94     73.27     90.11     34.69 
   130       57.60     48.35404  3846.55955        69.00     68.13     70.20     18.13     14.44     75.70     57.54     73.78     93.97     35.12 
   131       49.53     77.02626  4676.74938        74.80     73.87     59.80     -0.80    -17.22     53.70     59.68     65.49     91.34     34.63 
   132       54.09     18.72328  3882.83182        81.40     49.87     58.80     23.73     -3.33     86.80     52.30     77.78     93.29     20.31 
   133       56.53     33.53128  4307.62327        82.40     62.80     78.20     16.00     -5.56     70.10     65.16     78.29     84.35     33.58 
   134       53.50     22.40640  4374.29966        87.80     58.67     73.20     19.20    -18.89     72.50     51.19     75.64     91.29     24.38 
   135       57.25     61.03210  3599.48228        98.40     64.53     75.40     23.73      0.56     60.00     51.03     74.76     92.02     32.10 
   136       60.03     60.04136  3854.78074        98.80     76.67     62.00     29.33     22.78     50.90     59.29     70.18     91.11     39.20 
   137       58.12     35.31395  4318.79691        88.40     68.80     71.40     20.27      7.78     63.90     64.37     74.40     93.33     28.58 
   138       55.50     72.59171  3691.66334        93.20     72.00     70.20     14.40      3.89     66.60     57.70     63.78     82.49     30.74 
   139       53.37     55.39430  3043.60488        89.60     58.00     71.80     -8.80     11.11     57.90     54.52     76.33     80.54     42.65 
   140       52.85     80.45967  3852.08579        86.40     72.40     71.40     34.40    -26.67     56.50     60.71     59.45     82.99     30.93 
   141       56.54     47.71574  4331.14850        73.20     63.73     64.40     30.67     11.11     58.30     70.40     66.55     98.19     28.83 
   142       57.46     53.19026  4746.76492        90.20     68.93     76.20      5.87     17.22     65.00     64.52     74.25     84.58     27.84 
   143       48.97     31.27159  4442.23183        99.80     70.93     58.80     -9.07    -18.89     58.60     43.41     72.11     90.52     23.46 
   144       56.14     25.30129  4943.30431        96.40     57.60     74.40     -5.07      5.56     91.20     51.03     78.04     88.71     23.58 
   145       56.88     31.38186  4482.30802       103.20     61.60     71.80      7.20      6.11     65.60     68.81     72.55     79.27     32.65 
   146       53.99     75.43581  4491.89656        95.80     64.80     76.40     16.27     17.78     50.60     44.29     53.96     80.09     39.94 
   147       51.47     76.04787  3937.91904       106.00     82.27     46.40      3.20    -10.00     55.60     60.32     61.56     85.17     24.14 
   148       52.13     85.08113  3663.86553        77.20     78.40     69.00     19.20     -8.89     47.50     60.32     69.42     81.54     27.59 
   149       52.84     94.37703  3511.08586        90.80     65.73     58.40     13.60      6.67     52.30     50.00     70.98     87.85     32.04 
   150       52.55     100.03111  3627.47752       100.40     77.60     61.40      0.27     -2.22     62.90     44.44     62.00     86.89     31.79 
   151       56.15     69.73405  3104.46535       103.00     61.87     74.60     13.07     22.22     44.40     57.86     67.09     93.24     24.20 
   152       52.66     74.26182  3764.26929        85.00     65.33     85.00     13.07      3.33     44.80     47.54     66.25     90.48     25.80 
   153       52.98     90.75439  2986.98059        95.00     73.33     69.80     12.27     -8.33     50.90     44.92     64.00     91.61     36.30 
   154       54.79     112.72496  2854.43053        86.20     80.00     68.60     19.73     15.56     41.90     52.06     68.04     82.27     33.52 
   155       53.79     122.10801  2532.64184        94.40     70.27     58.80      6.40     14.44     64.90     53.25     53.53     88.48     33.40 
   156       49.48     136.92838  3000.28195        91.40     66.53     71.80    -24.53    -12.22     46.70     66.75     63.89     92.74     31.79 
   157       52.80     121.18688  2993.94661        75.60     73.20     67.80     26.13     25.00     33.80     53.02     60.22     86.62     26.60 
   158       58.39     135.71461  3004.04576        96.80     72.93     86.80     38.67    -10.00     48.20     70.08     58.04     92.11     30.31 
   159       48.89     157.16343  2592.85361        91.40     82.27     71.40     22.93    -38.33     21.80     51.27     62.36     93.38     30.43 
   160       51.54     139.84914  2439.63458        97.40     65.60     85.00     -5.33      0.00     39.90     53.10     66.29     83.67     29.75 
   161       50.34     126.35530  2798.83966        97.40     51.73     84.80     15.47     -7.22     36.20     49.29     55.09     94.88     25.80 
   162       53.11     119.41001  2943.84167        99.80     66.93     71.80     11.47      2.78     39.20     51.27     65.71     90.16     31.98 
   163       47.23     126.65716  3056.48273        80.20     73.60     59.00      3.47    -10.56     51.40     50.95     61.31     83.36     19.57 
   164       60.12     134.46004  3095.34087       105.00     64.80     99.00     23.73     38.33     36.30     55.24     63.42     91.56     23.83 
   165       54.14     120.48922  3155.20038        90.60     62.53     60.20     22.40     17.22     46.30     56.27     60.84     98.37     26.67 
   166       56.33     141.84622  3149.79629        96.40     60.93     87.60     29.60     11.11     51.40     48.73     55.75     88.39     33.40 
   167       52.65     149.22412  3207.87961        69.80     73.73     85.80     10.40     17.78     37.00     58.02     55.96     91.20     26.79 
   168       50.39     142.27439  3018.69994        81.80     66.13     61.80     19.47     -0.56     57.00     50.48     62.18     82.86     22.72 
   169       60.77     137.30264  3258.03349        94.60     75.07     89.60     42.13     36.11     47.60     48.89     63.05     81.32     29.32 
   170       52.03     143.57005  3411.56628        87.00     58.80     71.40     29.07     -0.56     52.50     41.90     63.56     83.85     32.78 
   171       56.95     137.94127  3652.13635        94.40     68.00     76.60     25.07     13.89     45.00     59.76     61.78     92.06     32.96 
   172       52.36     126.87207  3194.59867        77.60     72.40     67.40     18.93     30.00     34.60     53.17     50.80     85.22     33.46 
   173       52.16     137.68128  3103.49611        88.80     70.00     68.20      0.00     10.00     45.40     52.94     53.64     99.64     32.96 
   174       52.82     142.31664  3183.40677        84.80     79.73     65.80     29.87      7.22     31.20     63.41     57.71     82.86     25.62 
   175       48.23     132.24501  3153.87594        88.60     58.93     77.40     29.07    -15.56     21.00     49.13     55.49     90.20     28.02 
   176       50.97     133.37818  3197.69434        93.60     74.13     74.20     37.33    -21.67     30.30     46.27     57.82     91.07     26.60 
   177       47.89     129.38016  3522.87442       100.40     76.53     80.60    -14.40     -2.22     19.30     58.02     42.40     96.51     21.73 
   178       54.49     133.90391  3193.09719        75.20     69.73     76.80     38.67      8.89     33.00     65.24     62.62     87.26     27.53 
   179       50.26     133.56139  3288.05005        65.20     65.60     73.00     18.40     -7.22     41.00     62.38     62.29     97.10     24.81 
   180       49.58     128.44126  3196.22383        89.80     69.20     88.40     -1.33    -31.11     40.80     63.57     58.00     91.47     27.04 
   181       49.92     146.87963  3238.54050        81.80     60.00     81.00     -4.00      3.89     54.70     49.05     58.18     90.16     24.44 
   182       52.17     125.94065  3281.70930        77.60     56.00     58.40     22.93     11.11     52.70     58.25     52.95     95.10     36.67 
   183       47.80     134.09024  3126.99549        86.80     76.13     66.80      9.87    -13.33     13.30     53.41     65.05     90.16     29.81 
   184       51.06     142.24674  3371.43207        82.20     57.87     73.40     17.60    -12.78     50.00     58.65     63.53     91.61     28.52 
   185       52.95     136.57881  3150.98037        80.80     79.20     81.80      2.93      0.00     45.40     53.49     63.75     94.88     27.28 
   186       57.42     134.22118  3303.55182        94.00     83.20     73.60     15.20     18.89     57.70     64.29     51.53     82.40     33.40 
   187       49.11     134.98856  3390.16927        81.20     77.87     62.80     14.40     -2.22     22.40     47.94     68.47     88.39     29.81 
   188       54.04     131.76607  3397.23450        89.60     61.33     67.20     12.27     30.56     43.70     63.57     57.64     86.76     27.78 
   189       49.09     135.35711  3400.80217        68.60     81.07     64.40     -5.33      0.56     51.00     59.92     56.69     90.25     23.70 
   190       48.40     133.07668  3133.02069        93.60     63.07     65.00     -9.07      4.44     29.20     58.17     61.67     87.76     30.12 
   191       53.30     143.11856  3247.16480        94.00     69.20     73.20     12.27      7.78     44.90     61.98     51.64     84.13     33.89 
   192       52.35     141.70534  3294.32118        91.20     82.13     51.80     40.53     -8.89     41.30     63.10     56.62     84.81     20.86 
