constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5], [9.0, 1.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
    Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    83.04     2.229343  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     91.01     96.62     94.88     82.09 
    80.77     2.696853  0.877011        99.60     95.08     97.40     63.76     10.57     99.40     68.85     95.89     95.02     82.09 
    82.83     2.295353  0.977863        99.60     95.08     97.40     63.76     10.57     99.40     89.19     96.55     94.64     82.10 
    81.31     0.500000  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     92.55     97.82     94.89     62.06 
    81.67     2.723231  0.944044        99.60     95.08     97.40     63.76     10.57     99.40     78.97     96.11     93.76     82.09 
    81.64     2.487657  0.898171        99.60     95.08     97.40     63.76     10.57     99.40     77.48     96.18     95.01     81.96 
    81.48     3.582086  0.975938        99.60     95.08     97.40     63.76     10.57     99.40     77.30     95.53     94.03     82.10 
    81.69     3.807019  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     78.74     95.38     94.86     82.11 
    80.58     4.908907  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     68.90     94.15     94.84     82.09 
    77.26     5.265283  0.962543        99.60     95.08     97.40     63.76     10.57     99.40     56.34     92.87     75.51     82.08 
    79.65     5.414425  0.947334        99.60     95.08     97.40     63.76     10.57     99.40     56.34     92.22    100.00     82.09 
    79.91     4.143273  0.925702        99.60     95.08     97.40     63.76     10.57     99.40     56.73     94.44    100.00     82.10 
    81.27     4.666526  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     75.55     94.36     94.86     82.10 
    82.47     3.232417  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     86.20     95.82     94.89     81.96 
    82.33     3.510402  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     84.93     95.60     94.89     82.08 
    80.47     3.699232  0.932431        99.60     95.08     97.40     63.76     10.57     99.40     66.49     95.24     95.10     82.08 
    77.41     4.241951  0.924482        99.60     95.08     97.40     63.76     10.57     99.40     56.34     94.36     75.50     82.08 
    80.58     4.876355  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     69.04     94.15     94.88     81.95 
    81.28     4.645429  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     75.63     94.36     94.86     82.10 
    81.50     4.240524  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     77.12     95.09     94.87     82.11 
    82.83     2.653581  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     89.14     96.33     94.88     82.10 
    81.73     3.006389  0.968796        99.60     95.08     97.40     63.76     10.57     99.40     79.31     95.96     94.17     82.10 
    82.47     3.001035  0.989957        99.60     95.08     97.40     63.76     10.57     99.40     86.26     96.04     94.66     81.97 
    81.30     3.931331  0.969527        99.60     95.08     97.40     63.76     10.57     99.40     75.14     95.16     94.94     81.96 
    82.80     2.715091  0.998944        99.60     95.08     97.40     63.76     10.57     99.40     88.99     96.25     94.83     82.10 
    81.50     4.188059  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     77.32     95.09     94.86     81.94 
    82.96     2.371511  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     90.23     96.55     94.87     82.10 
    83.11     1.794605  0.978189        99.60     95.08     97.40     63.76     10.57     99.40     91.32     96.98     94.87     82.10 
    82.43     1.148343  0.976040        99.60     95.08     97.40     63.76     10.57     99.40     91.25     97.49     94.89     74.81 
    82.71     2.627872  0.983584        99.60     95.08     97.40     63.76     10.57     99.40     88.04     96.25     94.90     82.10 
