constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5], [9.0, 1.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
    Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    82.58     0.925629  0.810468        99.60     95.08     97.40     63.76     10.57     99.40     85.75     96.11     96.09     82.09 
    79.11     3.885903  0.625829        99.60     95.08     97.40     63.76     10.57     99.40     56.34     86.84    100.00     82.09 
    78.31     0.500000  0.762787        99.60     95.08     97.40     63.76     10.57     99.40     78.47     95.96     94.93     47.97 
    78.63     2.326408  0.809159        99.60     95.08     97.40     63.76     10.57     99.40     67.76     95.16     75.51     82.10 
    78.40     0.500000  0.749385        99.60     95.08     97.40     63.76     10.57     99.40     78.47     95.96     96.03     47.77 
    79.54     4.220468  0.737091        99.60     95.08     97.40     63.76     10.57     99.40     56.34     91.13     99.99     82.09 
    79.09     4.397472  0.690849        99.60     95.08     97.40     63.76     10.57     99.40     56.34     86.69    100.00     82.09 
    77.53     7.308427  0.659941        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02    100.00     82.09 
    78.85     7.537939  0.916117        99.60     95.08     97.40     63.76     10.57     99.40     56.34     84.36    100.00     81.97 
    75.08     7.055636  0.640476        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     75.51     82.11 
    77.56     8.282098  0.807672        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.35     99.99     82.09 
    78.11     8.646293  0.863465        99.60     95.08     97.40     63.76     10.57     99.40     56.34     76.87     99.99     82.10 
    77.60     9.000000  0.869656        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.71    100.00     82.10 
    75.67     8.868143  0.891416        99.60     95.08     97.40     63.76     10.57     99.40     56.34     77.16     75.51     81.88 
    78.82     7.517849  0.892441        99.60     95.08     97.40     63.76     10.57     99.40     56.34     84.00     99.99     82.09 
    75.93     7.157365  0.849612        99.60     95.08     97.40     63.76     10.57     99.40     56.34     79.64     75.51     81.96 
    77.52     9.000000  0.849720        99.60     95.08     97.40     63.76     10.57     99.40     56.34     70.98     99.98     82.10 
    76.53     7.088517  0.939578        99.60     95.08     97.40     63.76     10.57     99.40     56.34     85.53     75.49     82.09 
    77.53     9.000000  0.681510        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02    100.00     82.09 
    75.08     9.000000  0.733856        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     75.49     82.09 
    78.24     8.181011  0.872748        99.60     95.08     97.40     63.76     10.57     99.40     56.34     78.11     99.99     82.10 
    76.51     6.330051  0.847266        99.60     95.08     97.40     63.76     10.57     99.40     56.34     85.31     75.50     82.11 
