constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[1.0, 10], [200.0, 5000], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP HenkyPenky , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  10.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   123       51.52     118.55722  3612.91683        73.60     74.67     78.40      9.87      2.22     54.60     45.16     62.62     92.20     21.91 
   124       57.73     123.43968  4177.33747        88.40     69.73     71.20     40.00     25.00     31.60     55.32     65.78     93.92     36.36 
   125       54.62     105.76290  4149.68331        95.20     69.33     75.20     13.87    -25.00     67.40     50.24     76.33     91.38     32.28 
   126       48.92     93.88900  4975.26143        79.60     62.80     74.40     -4.80    -25.56     48.50     59.29     70.25     92.15     32.59 
   127       48.51     126.76858  4055.70332        76.40     51.20     70.00      7.73    -11.11     39.10     52.38     73.64     93.56     32.22 
   128       48.67     103.96417  4933.91254        72.40     62.67     61.00     16.80     -0.56     43.40     56.67     65.93     84.35     24.07 
   129       57.93     107.42545  4545.29009        94.00     69.60     83.60     15.73      9.44     51.40     57.94     70.29     93.42     33.89 
   130       55.91     88.50886  4155.92912        87.20     80.40     61.00     43.20    -20.00     59.20     50.95     71.27     96.01     29.88 
   131       55.16     122.16687  3381.08237        83.80     72.93     75.00     15.73     10.56     61.50     53.25     67.09     88.07     23.70 
   132       53.76     121.17671  4217.51480        90.80     73.60     90.20      6.93     -3.33     43.30     59.29     63.82     86.49     26.54 
   133       55.67     152.98455  3753.95708        96.20     73.07     80.60      4.00     17.78     40.80     57.70     60.36     93.92     32.22 
   134       54.04     135.61792  3139.70040        96.20     70.53     83.00     20.00    -14.44     49.50     60.08     58.33     85.94     31.23 
   135       48.89     108.41572  3865.89891        75.40     64.00     62.00      8.80    -20.56     57.90     54.84     70.40     88.66     27.47 
   136       52.16     109.61406  3183.64073        88.00     74.53     62.20     -1.33    -18.33     72.70     59.37     67.42     87.53     29.57 
   137       52.57     139.52692  3114.83773        74.80     73.33     67.40     16.80     33.33     27.40     58.02     60.40     83.13     31.05 
   138       51.12     161.18830  2483.96773        77.40     80.53     73.00     11.47     13.33     38.70     37.86     64.95     88.30     25.68 
   139       53.05     130.68281  2899.82225        91.60     81.33     72.80      8.80      0.00     47.60     43.17     57.49     88.84     38.89 
   140       51.27     99.12930  2740.19993        85.20     61.47     87.80     17.33    -41.67     63.40     38.89     71.56     93.61     35.12 
   141       55.75     97.47302  2408.64851       103.60     66.67     78.40     24.80      5.56     42.50     57.70     68.62     84.90     24.75 
   142       59.11     108.47543  2334.14308       101.60     77.47     65.20     20.27     12.22     64.20     51.27     69.64     86.30     42.96 
   143       55.09     107.68884  3037.02738        91.80     73.20     82.80     15.20    -10.00     49.20     60.87     67.42     88.71     31.67 
   144       52.74     134.32294  3190.50011        91.40     80.93     63.80     24.53    -12.78     42.50     62.62     67.56     81.00     25.80 
   145       52.45     147.56330  2864.76838        95.80     65.87     55.60     15.47     17.78     40.00     56.43     64.11     83.17     30.31 
   146       51.82     125.98102  3550.66049        84.00     71.33     63.00     33.87     -1.67     28.50     60.48     62.65     87.66     28.33 
   147       51.59     113.24685  3252.08957        74.00     53.73     79.20     21.87      7.78     32.50     63.10     62.36     92.24     29.07 
   148       54.71     110.20983  3351.51629        84.20     68.40     75.60     30.93      8.33     38.00     54.37     66.44     88.03     32.84 
   149       58.18     100.41737  2816.80696        83.60     68.13     81.60     28.80     16.67     61.80     55.00     69.31     87.48     29.38 
   150       54.65     83.26826  2794.32457        73.80     61.60     83.60     16.80     -3.33     73.30     57.54     72.36     82.04     28.77 
   151       52.59     124.59828  3097.61530        98.20     60.67     68.20     20.80    -12.78     54.90     47.94     63.71     90.61     33.64 
   152       57.64     110.72852  2277.89367        97.00     76.40     67.20     15.73     33.89     49.30     56.03     69.05     78.59     33.15 
   153       55.05     93.19125  2372.18279        83.80     61.07     72.60     28.80     15.00     37.80     67.22     67.89     88.03     28.33 
   154       60.75     96.34355  2757.50834       102.40     66.93     76.20     11.20     32.22     55.80     66.98     68.07     93.51     34.20 
   155       53.78     89.28442  3253.48120        85.20     80.13     58.00      7.20     -3.89     59.40     67.14     67.96     88.39     28.21 
   156       52.79     75.55663  2446.41402        75.40     53.33     74.20     10.40     21.11     56.30     45.16     75.56     87.89     28.52 
   157       55.79     75.62192  2409.25326        89.40     64.67     78.60     12.27     -0.56     62.40     51.35     74.22     92.38     33.21 
   158       60.08     94.59318  2255.34690       105.80     69.73     64.60     33.87     22.22     66.20     49.92     73.02     83.49     31.91 
   159       53.25     89.09438  2611.00720        90.60     69.47     64.40     30.67     -8.33     30.20     65.00     75.93     82.31     32.28 
   160       59.79     76.25610  2301.43638        90.80     82.13     73.80     20.80     26.67     58.50     55.95     72.98     81.54     34.75 
   161       51.40     98.74026  1808.82900        77.40     64.40     68.00     18.93      0.00     54.10     47.46     75.64     84.35     23.77 
   162       57.52     59.79594  1986.30014        82.80     58.40     62.80     12.80     27.78     77.40     57.06     79.93     90.02     26.17 
   163       53.97     86.91085  2416.55831        76.80     72.53     73.40      5.33     16.11     62.20     57.54     67.16     85.44     23.21 
   164       54.55     88.56431  2227.82948        91.80     83.20     67.20     16.53    -27.22     61.50     49.29     72.44     90.66     40.06 
   165       55.55     91.75523  2583.74435        88.60     55.47     61.40      6.13     10.56     62.10     62.54     72.07     97.41     39.20 
   166       56.03     93.40656  2499.25129        88.80     68.93     77.20     21.07     -7.22     68.40     52.06     72.22     80.54     38.33 
   167       55.11     70.61611  2600.72412        94.20     76.13     54.80     29.60     -8.89     69.70     48.65     71.64     93.38     21.85 
   168       54.97     66.53461  2226.12725       102.40     71.60     73.40     34.67    -28.33     56.40     58.02     80.95     79.82     20.80 
   169       54.85     68.78332  2034.11992        77.80     69.73     82.00     15.20     -3.33     53.70     61.19     72.25     84.49     35.43 
   170       56.89     92.50925  2349.17510        86.60     70.93     73.20     27.47      2.22     50.90     57.78     77.53     91.88     30.43 
   171       58.94     79.60861  1911.95983        95.40     67.60     84.20      3.73     20.00     64.40     52.62     73.89     90.57     36.98 
   172       54.86     79.35170  2173.97877        98.60     61.33     77.00     27.47    -26.11     59.90     62.06     70.84     83.90     33.58 
   173       51.85     90.12827  1635.22469        76.40     64.27     57.60     -8.00     20.56     43.90     66.59     77.27     88.53     31.36 
   174       51.28     71.31536  1945.65570        93.40     80.00     52.60     -9.07    -22.78     67.20     57.22     68.33     86.17     39.69 
   175       58.57     79.81969  1983.05480        91.60     70.27     73.60     14.93     18.33     74.80     47.62     77.24     84.58     32.78 
   176       59.83     85.30750  2021.25402        86.40     74.80     68.20     30.13     23.89     56.30     56.19     74.84     95.15     32.41 
   177       58.71     81.25914  1764.64713        85.80     65.20     60.40     14.93     22.78     67.90     65.32     76.18     98.19     30.43 
   178       56.18     73.07961  2024.58598        89.80     69.60     77.00     11.73      0.00     58.20     59.44     71.60     96.96     27.47 
   179       48.63     90.27623  1512.43623        99.00     78.80     77.20     -5.87    -53.89     48.10     49.21     73.53     86.85     33.33 
   180       59.14     72.21362  1582.35165        92.60     68.53     71.60     24.53      3.89     73.30     51.75     81.16     92.20     31.79 
   181       58.77     61.25607  1569.28527        78.60     75.87     66.60     26.40     -6.11     85.10     64.92     75.24     88.66     32.47 
   182       63.19     70.49639  1844.18755        84.40     68.53     83.60     33.33     13.89     78.10     57.94     75.05     92.79     44.26 
   183       54.31     75.52752  1998.42166        75.40     75.87     75.80      7.47    -20.00     63.80     61.35     74.65     91.43     37.35 
   184       49.75     69.48225  1749.78400        66.60     58.00     72.20     10.67     -2.78     56.00     52.94     74.51     85.31     24.07 
   185       56.11     76.54119  1978.67123        81.20     69.47     72.40     25.07      2.22     67.50     53.02     74.25     86.76     29.26 
   186       49.36     68.27885  1865.57735        67.60     62.80     61.60     10.93    -16.67     53.20     50.32     78.98     94.69     30.19 
   187       63.29     71.32280  1829.89733       100.20     87.33     64.60     22.40     32.78     71.00     60.79     77.93     84.04     31.79 
   188       59.59     75.84641  1761.80444        70.00     70.27     81.40     38.93     21.67     67.70     54.21     70.18     89.66     31.85 
   189       55.02     75.20415  1892.03076        94.80     65.20     78.60     25.60     -8.33     50.40     51.43     78.07     93.20     21.23 
   190       52.29     75.50698  1884.92817        57.20     77.47     71.00     -3.20      3.33     53.70     58.89     76.73     94.97     32.84 
   191       56.56     74.15875  1909.89633        89.60     62.67     78.40     21.87      3.89     61.10     63.17     76.29     77.19     31.42 
   192       58.89     76.50000  1836.00295        89.80     72.40     73.40     12.53      8.89     84.00     52.54     74.91     86.80     33.64 
