constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: EpsGreedy , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.140000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   167       50.02      3.86797        62.20     84.53     71.20     14.13     -8.89     71.20     35.79     53.45     73.02     43.52 
   168       55.55      3.26793        77.60     84.67     82.40     24.00     23.89     49.10     34.37     52.55     76.05     50.86 
   169       48.37      3.98425        72.80     72.27     86.20     18.67     36.11     29.10      8.65     58.76     77.32     23.83 
   170       49.75      3.61175        68.00     86.40     75.60     20.27      3.89     58.30     24.29     53.35     75.19     32.22 
   171       53.12      3.26933        68.20     84.00     63.20     31.47     -2.78     58.00     37.94     53.85     78.41     58.95 
   172       50.03      2.70285        65.60     73.60     56.60    -12.00     43.33     44.70     55.48     46.76     74.83     51.36 
   173       56.93      2.93405        59.80     66.13     65.40     22.67     46.11     74.80     52.86     57.20     76.60     47.72 
   174       54.70      2.43184        71.00     54.67     97.00      7.73     28.89     68.20     37.30     58.51     81.90     41.79 
   175       51.02      3.00113        50.00     79.07     74.80     30.40     -6.67     65.80     41.51     55.16     74.42     45.74 
   176       55.90      2.64219        73.00     78.93     80.20     12.80     17.78     63.30     43.57     63.82     79.95     45.62 
   177       53.20      2.98150        76.60     76.80     59.00     -4.53      4.44     60.30     61.83     56.04     80.14     61.36 
   178       44.27      2.14001        74.00     31.07     56.80      6.13     16.11     62.80     36.11     63.78     72.02     23.89 
   179       49.87      2.78447        64.80     78.53     66.80     31.20     -8.33     55.50     45.08     53.24     78.50     33.33 
   180       53.28      2.55764        53.20     66.80     47.80     30.40     37.78     73.50     46.27     57.02     75.96     44.07 
   181       49.98      2.46214        71.60     54.93     46.40     22.40     35.56     51.10     42.94     54.73     76.05     44.07 
   182       56.05      3.18916        74.20     83.20     68.20     39.47     17.78     49.00     52.38     56.11     78.00     42.16 
   183       57.74      3.37955        65.80     86.67     87.80     25.87     42.22     64.60     40.48     53.78     73.20     37.04 
   184       58.53      3.23595        60.40     76.80     78.60     41.07     42.78     67.80     48.81     58.55     73.20     37.35 
   185       44.89      3.19032        57.40     82.53     66.40     11.47    -17.78     45.20     26.67     54.36     82.49     40.19 
   186       56.93      3.29378        85.00     89.20     84.80     45.33     -4.44     54.90     49.05     55.24     80.09     30.19 
   187       55.23      3.33492        77.80     89.87     69.00     10.67      7.78     74.00     43.41     58.95     78.32     42.53 
   188       50.66      3.08125        59.00     75.07     60.20     18.93      6.11     57.20     53.02     55.78     76.42     44.88 
   189       53.32      3.18523        70.80     88.13     70.40     16.80    -18.89     71.00     45.95     57.09     76.37     55.56 
   190       50.55      2.99676        54.60     74.80     65.80     24.27      5.56     56.60     51.51     49.38     78.19     44.75 
   191       50.25      3.00521        60.40     87.20     50.80     21.60    -13.33     66.30     50.56     54.80     78.46     45.68 
   192       54.02      3.01400        66.40     80.80     77.00      2.13     11.11     75.60     50.71     55.93     70.61     49.88 
   193       59.34      3.27379        87.80     66.67     86.60      5.33     57.78     63.60     45.32     56.22     80.59     43.52 
   194       46.33      3.25161        56.40     76.27     60.20     13.07     -3.89     53.30     36.27     56.76     79.59     35.37 
