constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5], [9.0, 1.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
    Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    77.53     5.585457  0.555905        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     99.98     82.11 
    75.06     6.750131  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     75.50     81.96 
    77.42     2.264076  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     94.47     75.51     82.09 
    81.18     1.144315  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     67.06     96.80    100.00     82.10 
    83.76     0.500000  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     92.85     96.95    100.00     81.96 
    77.21     3.065781  0.565308        99.60     95.08     97.40     63.76     10.57     99.40     56.34     92.36     75.50     82.10 
    83.83     0.500000  0.532384        99.60     95.08     97.40     63.76     10.57     99.40     93.71     96.87    100.00     81.96 
    83.93     0.500000  0.623096        99.60     95.08     97.40     63.76     10.57     99.40     94.52     96.87     99.99     82.10 
    84.51     0.500000  0.804152        99.60     95.08     97.40     63.76     10.57     99.40     93.01     96.73     96.60     92.98 
    84.74     0.500000  0.845776        99.60     95.08     97.40     63.76     10.57     99.40     92.93     96.73     96.47     95.42 
    84.74     0.500000  0.730200        99.60     95.08     97.40     63.76     10.57     99.40     94.55     96.73     99.99     90.32 
    79.99     2.823794  0.757225        99.60     95.08     97.40     63.76     10.57     99.40     56.34     95.64     99.99     82.09 
    81.48     0.500000  0.567420        99.60     95.08     97.40     63.76     10.57     99.40     94.54     96.87     75.50     82.09 
    84.30     0.500000  0.683289        99.60     95.08     97.40     63.76     10.57     99.40     94.75     96.80     99.99     85.68 
    82.33     1.345044  0.652283        99.60     95.08     97.40     63.76     10.57     99.40     78.36     97.02    100.00     82.09 
    77.53     2.561272  0.705921        99.60     95.08     97.40     63.76     10.57     99.40     56.34     95.71     75.51     81.96 
    84.65     0.504840  0.790013        99.60     95.08     97.40     63.76     10.57     99.40     93.42     96.73     97.45     93.14 
    84.63     0.500000  0.710424        99.60     95.08     97.40     63.76     10.57     99.40     94.63     96.73     99.99     89.15 
    84.33     0.500000  0.857936        99.60     95.08     97.40     63.76     10.57     99.40     92.90     96.65     96.04     91.91 
    82.51     2.309639  0.893538        99.60     95.08     97.40     63.76     10.57     99.40     80.56     96.65     99.99     82.07 
    81.04     1.453912  0.826383        99.60     95.08     97.40     63.76     10.57     99.40     89.78     97.24     75.49     82.11 
    83.89     1.610209  0.954443        99.60     95.08     97.40     63.76     10.57     99.40     93.81     97.24     99.98     82.11 
    80.05     2.563290  0.921765        99.60     95.08     97.40     63.76     10.57     99.40     80.62     96.51     75.50     82.11 
    82.25     0.500000  0.959441        99.60     95.08     97.40     63.76     10.57     99.40     92.75     96.65     95.93     71.36 
    82.60     0.500000  0.955813        99.60     95.08     97.40     63.76     10.57     99.40     92.76     96.65     95.93     74.87 
    84.29     1.549042  0.978489        99.60     95.08     97.40     63.76     10.57     99.40     94.60     97.16     96.78     88.51 
    84.45     0.946421  0.927400        99.60     95.08     97.40     63.76     10.57     99.40     93.08     96.95     97.44     91.20 
    78.77     3.215177  0.901735        99.60     95.08     97.40     63.76     10.57     99.40     68.44     95.85     75.49     82.10 
    78.67     3.061452  0.876914        99.60     95.08     97.40     63.76     10.57     99.40     67.36     95.93     75.50     82.09 
    81.51     0.500000  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     92.69     96.65     95.49     64.48 
    82.95     0.500000  0.927808        99.60     95.08     97.40     63.76     10.57     99.40     92.84     96.65     96.45     77.73 
    83.26     1.797518  0.856899        99.60     95.08     97.40     63.76     10.57     99.40     87.64     97.02    100.00     82.10 
    83.94     0.879012  0.830363        99.60     95.08     97.40     63.76     10.57     99.40     94.60     96.95     99.99     82.10 
    82.29     0.500000  0.767172        99.60     95.08     97.40     63.76     10.57     99.40     92.86     96.73     75.51     92.02 
    82.25     0.500000  0.723692        99.60     95.08     97.40     63.76     10.57     99.40     94.58     96.73     75.51     89.85 
    84.65     0.500000  0.792303        99.60     95.08     97.40     63.76     10.57     99.40     93.47     96.73     97.45     93.05 
    84.34     0.500000  0.861424        99.60     95.08     97.40     63.76     10.57     99.40     92.95     96.65     96.04     91.90 
    82.30     0.500000  0.771008        99.60     95.08     97.40     63.76     10.57     99.40     92.85     96.73     75.51     92.07 
    82.47     0.500000  0.936522        99.60     95.08     97.40     63.76     10.57     99.40     92.82     96.65     96.45     72.94 
    83.45     2.158256  0.938184        99.60     95.08     97.40     63.76     10.57     99.40     89.73     96.87    100.00     82.10 
    82.22     3.548564  0.964733        99.60     95.08     97.40     63.76     10.57     99.40     78.55     95.78    100.00     82.09 
    82.88     3.328413  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     88.38     96.07     96.41     82.10 
    82.36     2.885653  0.932730        99.60     95.08     97.40     63.76     10.57     99.40     79.45     96.22    100.00     82.10 
    79.90     3.146795  0.952892        99.60     95.08     97.40     63.76     10.57     99.40     79.56     96.07     75.49     82.10 
    81.20     2.905124  0.869269        99.60     95.08     97.40     63.76     10.57     99.40     68.05     96.00    100.00     82.09 
    81.33     3.152793  0.906961        99.60     95.08     97.40     63.76     10.57     99.40     69.44     95.93    100.00     82.08 
    81.34     2.603395  0.850523        99.60     95.08     97.40     63.76     10.57     99.40     69.30     96.22    100.00     82.09 
    83.21     2.318002  0.925101        99.60     95.08     97.40     63.76     10.57     99.40     87.53     96.73     99.98     82.09 
    81.41     1.123191  0.862215        99.60     95.08     97.40     63.76     10.57     99.40     93.85     97.02     75.50     81.97 
    81.49     0.957390  0.859206        99.60     95.08     97.40     63.76     10.57     99.40     94.59     96.95     75.49     82.10 
    83.43     2.092763  0.928927        99.60     95.08     97.40     63.76     10.57     99.40     89.67     96.95    100.00     81.90 
    79.91     2.930328  0.936995        99.60     95.08     97.40     63.76     10.57     99.40     79.51     96.22     75.50     82.09 
    81.33     1.451012  0.889945        99.60     95.08     97.40     63.76     10.57     99.40     92.64     97.24     75.51     82.07 
    83.79     1.593273  0.920494        99.60     95.08     97.40     63.76     10.57     99.40     92.73     97.24    100.00     82.11 
    84.69     0.836403  0.952189        99.60     95.08     97.40     63.76     10.57     99.40     93.00     96.87     95.85     95.40 
    82.18     1.064869  0.926459        99.60     95.08     97.40     63.76     10.57     99.40     94.84     96.95     75.51     88.69 
    83.34     0.500000  0.892960        99.60     95.08     97.40     63.76     10.57     99.40     92.93     96.65     96.46     81.55 
    81.14     1.805312  0.912844        99.60     95.08     97.40     63.76     10.57     99.40     90.80     97.16     75.50     82.12 
    83.80     1.628330  0.931203        99.60     95.08     97.40     63.76     10.57     99.40     92.83     97.24    100.00     82.09 
    81.42     1.469948  0.921498        99.60     95.08     97.40     63.76     10.57     99.40     93.62     97.16     75.51     82.09 
    82.62     0.500000  0.932492        99.60     95.08     97.40     63.76     10.57     99.40     92.83     96.65     96.44     74.49 
    83.72     0.758003  0.957725        99.60     95.08     97.40     63.76     10.57     99.40     92.83     96.80     95.93     85.81 
    84.48     1.241941  0.961386        99.60     95.08     97.40     63.76     10.57     99.40     94.84     97.02     97.11     90.01 
