constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [0.4], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  ]
Optimizer(): evals/step: 25
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: EpsGreedy , CP Disabled , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.140000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    95       37.82      0.10938        72.96     90.08     79.60     -0.05      1.11      1.96      9.37     33.18     83.15      6.86 
    96       38.12      0.10756        57.92     85.39     73.52      7.84     21.56      6.52      0.41     25.70     86.79     15.56 
    97       43.69      0.11001        76.00     91.31     77.92     25.33     18.44     13.08      4.13     28.16     88.55     14.02 
    98       41.99      0.11176        71.04     92.80     79.52     37.17     -7.11      9.76     10.29     28.49     86.38     11.53 
    99       41.15      0.11031        69.44     86.03     73.68     32.27     24.22      9.76     -6.10     30.04     86.03      6.15 
   100       42.29      0.11017        73.12     91.09     76.64     37.17     -4.22      8.56     10.48     29.79     88.43     11.88 
   101       43.13      0.10976        79.60     89.81     66.80     40.91     15.11     14.60      4.98     30.94     82.24      6.32 
   102       41.60      0.10976        62.24     85.01     74.56     35.15     23.78      3.32      4.29     24.77     86.21     16.69 
   103       39.69      0.09035        60.88     86.99     88.88     14.56     10.22      9.28     -0.29     33.99     85.54      6.84 
   104       35.69      0.11328        42.72     81.28     77.52     17.55    -18.89     18.04      6.54     36.67     84.34     11.16 
   105       40.22      0.08122        55.52     86.93     85.12     36.85     10.67     12.04      0.86     25.98     89.48     -1.26 
   106       39.66      0.04623        52.00     96.64     94.08     19.15    -18.22     13.44      9.52     31.20     87.61     11.14 
   107       32.69      0.05285        39.52     85.92     90.00    -16.80     -1.78      9.48      0.76     28.09     83.47      8.25 
   108       37.84      0.06744        58.48     82.77     87.04     10.61      1.11     10.64      4.25     32.81     86.85      3.85 
   109       26.32      0.01545        -4.88     92.43     99.84    -38.56    -18.89      7.44     -2.89     27.17     89.08     12.44 
   110       36.62      0.10780        57.20     85.23     77.92     15.84      4.22     15.08     -2.38     28.84     79.52      4.77 
   111       36.16      0.06204        51.76     87.73     83.44     10.40     -3.78      6.96      5.33     29.13     80.93      9.68 
   112       38.56      0.04719        53.60     86.29     96.48    -12.11      0.67     21.68      8.86     32.45     87.46     10.20 
   113       37.80      0.06775        48.96     87.79     83.68    -19.79     28.89     11.92      9.02     24.00     88.75     14.77 
   114       42.35      0.04502        54.56     95.36     89.20     24.48      5.11     17.28      7.24     29.53     87.50     13.26 
   115       33.98      0.04480        15.68     96.43     86.72     15.31     -6.00      1.80      3.65     30.59     87.46      8.17 
   116       36.27      0.02847        51.92     88.32    100.32    -23.31     -1.78      9.44      0.60     30.55     88.43     18.17 
   117       40.05      0.10603        59.12     94.56     84.48     12.11     -2.67     13.68      9.46     34.40     86.20      9.16 
   118       38.81      0.13233        62.64     82.67     81.04     20.11      7.56      6.96     -0.41     29.22     83.07     15.23 
   119       38.82      0.19603        76.48     74.08     74.40     23.09      8.89     12.24      4.54     31.03     77.72      5.75 
   120       39.43      0.12494        68.96     87.73     68.56     14.99     19.33      9.92      5.24     26.89     87.10      5.53 
   121       41.64      0.12132        68.08     86.93     78.40     24.16      3.33     16.44     13.24     30.40     83.27     12.15 
   122       38.21      0.13907        66.24     83.79     82.32      7.63     12.44      3.56      3.65     30.15     82.71      9.63 
   123       37.17      0.07167        44.56     84.37     79.52     21.60      7.33     16.36     -6.35     25.00     88.21     11.09 
   124       42.93      0.06081        57.28     97.76     86.80     30.35     19.56      4.44      4.22     25.98     89.08     13.83 
   125       37.34      0.04657        41.52     86.35     84.64     14.45     -0.67     11.48      5.30     29.53     88.73     12.02 
   126       42.65      0.10860        70.24     84.53     89.60     23.41     22.00     15.08     -5.27     32.25     83.55     11.11 
   127       38.40      0.16583        65.92     83.20     76.16     17.76     15.33     11.16     -6.98     30.25     77.09     14.15 
   128       39.40      0.14166        72.72     80.16     79.36     24.48      7.56      9.88      0.29     31.77     81.41      6.40 
   129       34.56      0.08579        45.44     87.31     68.00     -3.89      8.67     20.08      2.60     27.27     83.64      6.47 
   130       37.19      0.14589        74.80     71.57     77.20     13.39      5.33     10.48     -5.14     32.55     82.15      9.56 
   131       37.99      0.13946        70.88     74.72     65.60     18.51     20.44     11.96      4.48     22.39     82.46      8.44 
   132       41.69      0.11879        66.88     84.69     82.56     14.35     28.44     11.40      6.32     27.05     81.53     13.70 
   133       40.18      0.17599        69.36     77.60     83.04     21.07     11.56     11.12      7.84     29.76     79.74     10.69 
   134       40.74      0.13755        70.72     82.08     65.68     38.88     21.56      5.96     -0.22     27.55     81.61     13.63 
   135       36.49      0.16744        58.40     72.64     82.48     16.48      4.67      9.56     -2.06     30.08     79.77     12.91 
   136       37.53      0.14784        69.68     79.52     64.96     18.51     10.00     13.20      1.30     29.02     80.54      8.57 
