constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP Disabled , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  0.700000  -0.400000  -0.300000  ]  [  1.000000  -0.200000  -0.400000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 
    48    52543.35   2309.15     91.17     51.06           82.25     70.44     69.83     34.11     15.97     47.08     45.83     54.02     85.84     48.64     98.91     96.67      1.25     99.18      7.08     26.39     64.42      0.42     61.25     19.83     59.33     75.31     91.52     26.07     53.12     34.33      9.67     42.33     33.16     57.08     87.02     14.95     22.21     75.86     67.40     58.58     51.85 
    49    52538.55   2313.95     91.18     51.13           82.45     70.97     70.16     33.12     16.33     47.67     45.84     54.34     85.92     48.51     98.89     96.89      4.08     99.18      7.76     27.07     64.94     -1.22     61.18     18.59     60.98     75.33     91.59     25.08     53.12     34.53      8.73     41.66     33.03     56.76     86.67     14.17     23.86     75.66     67.24     59.05     51.78 
    50    52536.52   2315.98     91.17     51.34           82.56     70.91     68.68     33.71     16.33     48.58     45.97     54.52     86.05     48.38     98.81     96.75      5.20     99.18      8.40     25.33     65.32     -0.40     61.48     20.32     63.84     75.45     91.46     23.63     53.13     34.33     12.75     42.45     32.41     56.36     86.68     13.54     23.91     75.59     67.09     59.11     51.78 
    51    52538.65   2313.85     91.20     51.56           83.06     70.88     68.08     34.38     17.10     48.37     46.03     54.77     86.15     49.19     98.80     96.67     13.33     99.17      8.63     26.54     65.53      3.92     59.88     19.63     60.63     75.57     91.43     23.21     53.05     33.79     13.05     42.22     32.29     55.48     86.71     14.54     21.96     75.83     66.89     59.12     51.83 
    52    52532.54   2319.96     91.19     51.66           82.96     71.18     68.00     35.03     16.03     48.27     46.08     54.69     86.13     49.00     98.82     96.68     15.77     99.17      9.62     25.13     65.88      3.08     58.81     20.41     64.00     75.58     91.31     23.83     53.06     34.46     12.21     41.74     32.01     55.81     86.62     14.14     22.67     75.40     66.80     59.52     51.47 
    53    52534.19   2318.31     91.19     51.56           82.87     71.67     67.70     34.04     15.41     48.32     46.09     54.55     86.51     49.91     98.89     96.70     10.57     99.17     10.57     25.79     65.74      2.64     58.91     22.16     61.51     75.58     91.42     24.90     52.99     35.04     11.60     41.84     32.64     55.52     86.62     14.77     22.26     75.24     66.78     59.58     51.24 
    54    52531.46   2321.04     91.18     51.55           83.70     71.73     68.30     33.14     14.71     48.07     45.90     54.60     86.18     50.65     98.92     96.57     13.70     99.17     11.48     25.68     66.07      4.44     59.11     21.83     59.85     75.51     91.33     24.08     52.99     34.86      8.15     42.77     33.99     55.06     86.57     13.97     21.39     75.10     66.71     59.65     51.41 
    55    52533.15   2319.35     91.16     51.50           84.04     71.54     68.33     31.39     13.33     47.85     46.03     54.90     86.01     50.42     98.90     96.41     20.36     99.17     12.36     23.39     66.29      6.55     57.78     21.75     58.25     75.48     91.37     23.10     53.00     34.69      7.05     41.92     34.26     55.66     86.57     13.19     20.68     75.27     66.82     59.78     51.56 
    56    52530.98   2321.52     91.15     51.40           83.96     71.45     67.50     31.33     14.88     48.70     46.09     54.70     86.37     50.80     98.96     96.43     17.86     99.17     13.21     22.62     66.14      5.00     56.29     21.19     60.00     75.46     91.25     23.75     53.00     34.81      6.86     41.43     34.15     55.09     86.56     12.67     20.90     75.38     66.75     59.57     51.34 
    57    52529.28   2323.22     91.13     51.20           84.81     71.04     67.26     32.44     14.13     47.75     46.12     54.54     86.26     50.42     99.00     96.32     16.84     99.17     13.68     22.11     65.44      5.61     55.05     19.72     58.60     75.52     91.19     23.18     53.00     34.67      6.11     41.71     34.74     54.98     86.58     12.07     21.22     75.75     66.64     59.52     51.34 
