constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: UCBtuned , CP HenkyPenky , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  
MABsolver_config: params: weights:  [  0.708700  ]  [  42.830000  ]  [  50.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 
    56    52052.02   2800.48     90.94     48.87           84.75     77.12     67.86     15.43      8.33     59.04     56.90     73.51     84.96     29.59     99.23     96.16     61.79     99.60      8.57     15.95     68.14     14.64     48.79      1.14     11.29     30.33     87.59     13.37     90.80     32.31     53.14     26.14     36.80     63.72      8.53     21.96     37.31     78.87     74.59     33.81     36.17 
    57    52042.89   2809.61     90.95     48.86           85.26     76.80     67.23     15.70      7.50     59.21     56.60     73.61     85.34     29.25     99.22     96.14     61.75     99.60      9.47     16.02     65.12     17.19     53.89     -1.24      9.19     30.29     87.64     12.67     90.80     32.69     53.45     26.64     36.78     63.30      8.01     21.51     37.91     78.60     74.45     33.72     36.52 
    58    52048.05   2804.45     90.93     48.92           85.31     75.84     66.97     16.83      6.23     59.28     56.62     73.52     85.14     29.26     99.17     96.08     64.83     99.60     10.34     17.24     65.62     14.83     51.59     -0.87     11.72     30.10     87.68     13.04     90.80     32.54     53.93     26.71     37.22     63.23      9.45     20.84     36.17     78.45     74.22     33.90     36.49 
    59    52058.05   2794.45     90.91     48.94           85.46     76.41     66.98     15.93      7.16     57.88     55.97     73.57     84.91     28.87     99.07     96.06     64.41     99.60     12.20     17.29     65.46     11.86     51.59     -0.47     13.76     29.97     87.90     12.65     90.80     32.51     54.03     27.37     36.78     63.30     10.78     21.49     35.90     78.73     74.15     33.68     36.62 
    60    52063.52   2788.98     90.92     49.20           85.20     75.69     67.83     15.96      7.31     58.00     56.20     73.54     85.10     28.56     98.97     95.83     69.67     99.60     12.00     16.22     66.13     12.00     54.40     -1.42     13.73     30.03     87.85     12.95     90.80     33.05     54.58     26.62     36.78     63.35     12.10     22.26     37.45     78.60     73.96     33.37     36.25 
    61    52073.30   2779.20     90.93     49.20           84.85     76.13     68.30     15.72      6.92     58.43     56.39     72.97     85.25     28.41     99.07     95.82     68.52     99.60     11.80     16.28     66.20     11.80     53.77     -1.03     12.39     30.06     87.86     10.47     90.80     33.45     54.75     28.79     37.38     63.53     13.41     22.99     37.16     78.49     73.96     33.43     36.23 
    62    52087.55   2764.95     90.97     49.41           85.03     76.34     67.45     16.82      7.97     58.81     55.57     72.68     85.55     28.61     99.09     95.85     69.68     99.60     11.61     15.91     67.29     11.94     54.52     -3.40     15.48     30.13     88.04     10.22     90.80     33.72     56.22     29.59     35.74     63.61     14.67     23.85     36.68     78.74     74.07     33.46     36.24 
    63    52104.57   2747.93     90.99     49.55           85.49     75.58     67.49     17.88      8.64     59.25     56.07     72.83     85.94     28.52     99.15     95.79     72.06     99.60     12.70     14.92     67.59     11.11     52.29     -3.20     13.78     30.13     88.11      9.47     90.80     34.25     56.70     29.78     35.88     63.92     15.92     24.52     37.64     78.93     74.23     33.41     36.24 
    64    52103.50   2749.00     90.98     49.56           85.41     75.35     67.59     16.54      7.55     59.81     56.15     72.40     86.22     28.69     99.09     95.78     71.25     99.60     11.87     15.21     67.66     10.62     53.31     -2.33     13.25     30.05     88.13      9.83     90.80     34.40     58.42     30.58     36.77     63.74     15.44     25.23     36.37     79.10     74.09     33.40     36.24 
    65    52112.77   2739.73     91.00     49.74           85.57     75.24     67.05     15.49      7.52     60.18     56.00     72.82     86.70     28.66     99.08     95.73     77.85     99.60     12.00     14.87     67.23     11.38     54.12     -1.99     12.25     30.10     88.23      9.69     90.80     34.84     57.13     30.26     36.56     64.04     16.64     25.57     36.51     79.07     73.97     33.39     36.08 
