constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP Disabled , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  1.100000  -0.400000  -0.400000  ]  [  0.300000  0.000000  0.000000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 
    46    52544.04   2308.46     91.28     52.25           82.65     80.70     79.35     24.23     10.51     16.89     44.86     52.65     81.97     61.45     99.30     95.98     16.96     99.15     29.13     29.57     69.74     47.83     64.13     27.48     46.78     74.85     91.89     30.13     49.59     33.91     12.23     23.01     42.67     42.19     87.50     20.21     15.22     77.16     72.70     52.36     46.45 
    47    52550.64   2301.86     91.27     51.98           82.89     80.03     78.51     23.69      9.46     18.09     44.14     52.71     82.09     60.70     99.14     96.17     15.74     99.15     28.09     28.79     71.02     44.68     64.13     23.12     46.38     74.84     91.98     29.65     49.59     33.76     10.98     24.77     42.55     43.08     87.55     19.52     16.14     77.46     72.88     52.69     47.14 
    48    52553.10   2299.40     91.27     52.14           83.71     79.28     78.79     22.22      8.68     17.88     43.70     52.83     82.45     60.04     99.09     96.09     20.42     99.15     27.50     26.67     71.33     46.25     63.63     22.89     50.17     74.76     92.18     29.52     49.59     33.74     11.44     25.78     41.90     43.40     87.59     20.41     15.82     77.35     73.03     52.69     47.25 
    49    52559.45   2293.05     91.27     52.18           84.04     78.48     77.67     22.67      7.48     19.35     43.13     53.08     82.34     59.78     99.16     96.07     18.78     99.15     28.16     25.71     68.82     44.90     64.61     20.38     51.51     74.80     92.29     29.72     49.59     33.93     14.50     26.80     43.45     42.70     87.63     21.42     17.48     77.16     73.38     52.60     47.75 
    50    52553.46   2299.04     91.26     51.79           84.24     78.59     78.32     23.04      5.89     18.68     42.43     52.88     82.87     59.51     99.11     96.00     14.00     99.14     27.20     25.07     69.24     47.60     61.48     16.85     48.48     74.81     92.55     30.06     49.59     34.35     14.56     26.51     43.94     42.71     87.69     20.67     17.79     76.94     73.16     52.39     48.05 
    51    52554.92   2297.58     91.26     51.77           84.55     79.19     78.24     22.46      4.68     18.86     42.20     52.78     82.66     59.59     99.16     96.18     13.73     99.15     29.02     24.44     69.61     48.63     61.88     14.41     49.33     74.96     92.51     30.81     49.59     34.20     15.03     26.69     42.94     42.48     87.70     19.96     16.83     77.00     73.44     52.65     47.97 
    52    52553.46   2299.04     91.25     51.95           85.50     79.05     78.27     23.49      2.35     18.23     42.20     52.55     82.54     59.31     99.11     95.87     22.69     99.15     27.31     24.87     69.31     48.46     63.31     14.36     48.46     74.99     92.49     29.95     49.59     34.32     16.21     27.54     43.62     42.61     87.74     19.08     16.65     76.89     73.57     53.11     47.56 
    53    52552.11   2300.39     91.25     52.03           84.79     79.35     76.83     23.82      3.46     17.79     41.61     52.55     82.40     58.84     99.09     95.94     22.26     99.15     27.92     25.28     68.72     47.92     65.47     12.91     47.17     74.88     92.50     30.94     49.59     34.01     17.33     28.45     44.21     42.03     87.78     20.04     19.01     76.59     73.74     53.15     47.59 
    54    52548.78   2303.72     91.27     52.23           85.11     79.48     76.56     25.63      4.01     18.59     42.14     53.00     82.30     59.12     99.06     95.74     29.26     99.15     30.00     27.90     68.81     49.26     64.67     13.33     43.56     74.88     92.24     31.36     49.59     34.02     13.68     28.74     44.06     42.08     87.85     19.21     18.20     76.42     73.82     52.47     47.28 
    55    52543.27   2309.23     91.23     52.02           85.82     79.95     77.45     25.14      4.44     18.15     42.06     53.01     81.77     59.02     99.13     95.73     28.00     99.14     30.18     25.33     68.87     47.27     62.36     11.18     46.91     74.93     92.34     30.67     49.59     34.04     14.04     28.63     43.47     41.28     87.88     18.19     18.94     76.61     73.61     52.31     47.22 
    56    52535.91   2316.59     91.21     51.99           85.68     80.45     77.07     24.48      5.65     17.55     41.44     52.97     82.18     59.07     99.07     95.71     36.07     99.14     30.36     25.71     68.82     45.36     58.96      9.33     46.86     74.91     92.38     30.29     49.59     34.44     13.62     28.52     42.84     40.93     87.89     18.70     18.62     76.54     73.40     52.03     46.82 
    57    52531.12   2321.38     91.18     51.79           85.30     80.23     78.07     25.19      4.19     17.39     40.73     52.99     82.25     59.02     99.13     95.66     35.44     99.14     27.37     23.74     69.86     44.91     58.95      9.71     47.37     74.87     92.07     31.10     49.59     34.35     13.31     28.00     42.53     41.17     87.91     17.78     17.86     76.34     73.24     52.01     47.30 
    58    52534.84   2317.66     91.20     51.84           85.10     80.23     78.59     24.51      5.36     17.91     40.38     52.46     82.74     58.92     99.11     95.60     34.48     99.14     26.55     24.14     69.07     46.90     59.66     10.48     49.52     74.95     92.15     30.76     49.59     34.77     10.80     27.86     42.99     41.24     87.87     17.13     17.57     76.55     73.28     52.19     47.56 
    59    52537.22   2315.28     91.22     51.90           85.39     80.07     78.81     25.11      7.25     18.61     40.13     52.68     82.88     58.55     99.07     95.55     32.88     99.14     27.46     23.62     69.59     46.78     55.25     10.46     48.61     74.94     92.29     32.02     49.59     35.20     11.37     29.90     42.90     41.10     87.81     17.82     18.05     76.34     73.36     52.17     47.58 
