constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP HenkyPenky , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  1.000000  -0.100000  -0.400000  ]  [  0.800000  -0.100000  -0.300000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
Total repeats: 1000

           Batch performances                            By-cases performance as: Sum rewards

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    99    3559.19    359.81     90.69     58.75          291.07    276.40    182.70    220.74    103.42    570.06    471.02    601.97    376.18    465.63 
   100    3558.94    360.06     90.68     58.73          291.13    276.74    182.79    220.66    103.33    570.00    470.96    601.59    376.12    465.62 
   101    3558.00    361.00     90.66     58.66          291.07    276.55    182.85    220.61    103.34    569.93    470.99    601.61    375.53    465.50 
   102    3556.36    362.64     90.63     58.53          291.26    276.66    182.96    220.55    103.18    569.88    470.65    600.63    375.33    465.26 
   103    3555.98    363.02     90.63     58.56          291.24    276.69    183.04    220.63    103.17    570.20    470.36    599.96    375.33    465.35 
   104    3555.10    363.90     90.62     58.50          291.27    276.53    183.29    220.70    103.10    569.93    470.12    599.50    375.38    465.28 
   105    3555.44    363.56     90.63     58.60          291.43    276.69    183.33    220.97    103.05    569.78    470.01    599.10    375.33    465.74 
   106    3555.78    363.22     90.64     58.67          291.59    276.54    183.44    220.92    103.08    570.08    470.34    598.86    375.38    465.56 
   107    3557.08    361.92     90.69     58.89          291.73    276.84    183.42    220.98    103.29    570.06    470.27    599.21    375.59    465.69 
   108    3557.54    361.46     90.69     58.89          291.60    276.65    183.61    220.87    103.29    570.50    470.07    599.80    375.53    465.62 
   109    3556.87    362.13     90.68     58.80          291.69    276.89    183.74    220.65    103.17    570.33    469.98    599.43    375.19    465.80 
   110    3557.08    361.92     90.68     58.82          291.66    276.83    183.68    220.45    103.25    570.76    470.28    599.44    375.32    465.41 
   111    3557.97    361.03     90.70     58.91          291.77    276.77    183.81    220.38    103.31    570.67    470.39    599.41    375.76    465.72 
   112    3558.00    361.00     90.69     58.84          291.88    276.62    183.79    220.28    103.22    570.60    470.14    599.65    375.63    466.18 
   113    3558.63    360.37     90.71     58.84          291.95    276.53    183.80    220.21    103.20    570.61    470.02    599.75    376.25    466.31 
   114    3559.00    360.00     90.70     58.79          291.95    276.29    183.89    219.90    103.18    570.77    470.14    599.75    376.54    466.59 
   115    3558.10    360.90     90.69     58.70          291.97    276.54    184.04    219.89    103.03    570.78    469.82    599.57    376.41    466.05 
   116    3558.07    360.93     90.69     58.72          291.76    276.56    184.28    220.09    103.00    570.57    469.84    599.71    376.30    465.96 
   117    3559.05    359.95     90.72     58.83          291.95    276.86    184.44    219.95    103.03    570.62    470.02    599.81    376.89    465.50 
   118    3558.01    360.99     90.72     58.90          291.97    276.80    184.59    220.13    103.18    570.51    469.78    599.47    376.27    465.31 
   119    3557.31    361.69     90.71     58.89          291.95    276.79    184.52    220.21    103.24    570.49    469.45    599.75    376.09    464.82 
   120    3556.99    362.01     90.72     58.96          291.88    276.76    184.65    220.22    103.40    570.54    469.31    599.56    376.18    464.48 
   121    3557.26    361.74     90.73     59.03          292.07    276.88    184.84    220.23    103.38    570.55    469.12    599.60    376.01    464.59 
   122    3557.38    361.62     90.75     59.16          292.17    276.61    184.84    220.35    103.61    570.42    469.11    599.75    375.75    464.75 
   123    3557.40    361.60     90.75     59.16          292.32    276.66    185.06    220.32    103.54    570.28    469.11    599.84    376.07    464.21 
   124    3556.70    362.30     90.74     59.12          292.15    276.53    184.95    220.27    103.65    570.45    469.12    599.70    376.18    463.69 
   125    3556.92    362.08     90.74     59.09          292.25    276.58    184.97    220.21    103.56    570.52    468.98    600.17    375.97    463.72 
   126    3556.71    362.29     90.74     59.11          292.44    276.43    185.09    220.20    103.56    570.60    468.72    599.89    375.88    463.90 
   127    3556.31    362.69     90.72     59.06          292.43    276.29    185.19    220.20    103.47    570.71    468.58    599.79    375.82    463.83 
   128    3555.94    363.06     90.72     59.05          292.55    276.23    185.27    220.09    103.52    570.69    468.35    600.01    376.03    463.19 
   129    3556.29    362.71     90.71     58.99          292.60    276.21    185.34    220.09    103.31    570.84    468.56    600.16    375.83    463.35 
   130    3556.36    362.64     90.71     58.94          292.55    276.57    185.15    220.15    103.24    570.62    468.32    600.40    375.74    463.64 
   131    3556.32    362.68     90.71     58.98          292.28    276.60    185.25    220.20    103.34    570.60    468.37    600.76    375.25    463.66 
   132    3555.89    363.11     90.70     58.91          292.17    276.53    184.96    220.05    103.47    570.57    468.08    601.16    375.18    463.71 
   133    3555.59    363.41     90.69     58.89          292.11    276.60    184.98    220.09    103.47    570.44    468.03    601.15    375.08    463.65 
   134    3555.57    363.43     90.69     58.86          292.12    276.56    185.03    220.22    103.33    570.42    468.21    600.84    375.18    463.67 
   135    3555.50    363.50     90.69     58.88          292.18    276.54    185.06    220.13    103.39    570.43    468.08    600.72    375.23    463.75 
   136    3556.24    362.76     90.73     59.06          292.20    276.53    185.30    220.49    103.46    570.17    468.07    600.56    375.58    463.87 
   137    3555.99    363.01     90.72     58.98          292.31    276.65    185.41    220.32    103.32    570.15    468.13    600.47    375.50    463.72 
   138    3555.74    363.26     90.70     58.91          292.20    276.48    185.20    220.30    103.33    569.99    468.20    600.31    375.64    464.08 
   139    3555.65    363.35     90.71     59.00          292.24    276.48    185.32    220.24    103.48    570.06    468.22    600.32    375.43    463.85 
   140    3556.34    362.66     90.73     59.06          292.23    276.57    185.32    220.17    103.54    570.16    468.36    600.54    375.50    463.94 
   141    3556.12    362.88     90.73     59.00          292.20    276.64    185.28    220.01    103.54    569.95    468.63    600.28    375.93    463.67 
   142    3555.47    363.53     90.71     58.92          292.20    276.57    185.12    219.99    103.53    569.58    468.83    600.01    375.87    463.78 
   143    3555.27    363.73     90.71     59.01          292.38    276.45    185.15    220.03    103.65    569.46    468.81    599.92    375.35    464.06 
   144    3554.58    364.42     90.69     58.91          292.40    276.40    185.08    219.93    103.60    569.56    468.83    599.71    375.32    463.76 
   145    3554.30    364.70     90.69     58.91          292.49    276.26    185.01    219.92    103.65    569.52    468.79    599.63    375.16    463.87 
   146    3554.36    364.64     90.69     58.92          292.35    276.35    184.94    219.99    103.65    569.45    469.01    599.61    375.03    463.99 
   147    3554.59    364.41     90.70     59.00          292.37    276.48    184.88    220.18    103.69    569.51    468.97    599.58    374.91    464.01 
   148    3554.26    364.74     90.68     58.89          292.41    276.64    184.77    220.01    103.59    569.34    469.24    599.80    374.76    463.72 
   149    3554.89    364.11     90.69     58.89          292.56    276.83    184.95    219.62    103.56    569.49    469.39    600.07    374.69    463.72 
   150    3554.75    364.25     90.69     58.95          292.80    276.83    184.99    219.81    103.53    569.51    468.90    599.79    374.87    463.72 
   151    3554.99    364.01     90.70     58.96          292.84    276.56    184.96    219.87    103.56    569.43    468.94    599.97    375.05    463.81 
   152    3555.10    363.90     90.70     58.96          292.81    276.57    184.86    219.89    103.58    569.43    469.06    599.97    375.20    463.72 
   153    3554.79    364.21     90.69     58.92          292.81    276.67    184.68    219.89    103.56    569.48    469.05    600.00    374.94    463.70 
   154    3555.32    363.68     90.70     58.96          292.66    276.66    184.71    219.78    103.64    569.69    469.05    600.16    374.86    464.11 
   155    3555.24    363.76     90.69     58.98          292.66    276.50    184.73    219.81    103.70    569.80    468.99    600.37    374.50    464.17 
   156    3555.45    363.55     90.69     58.99          292.71    276.40    184.47    219.83    103.74    569.81    469.23    600.57    374.47    464.21 
   157    3555.48    363.52     90.70     58.97          292.76    276.50    184.50    219.82    103.71    569.61    469.32    600.57    374.92    463.77 
   158    3555.08    363.92     90.69     58.90          292.66    276.70    184.51    219.69    103.70    569.18    469.29    600.65    375.11    463.58 
   159    3554.97    364.03     90.68     58.83          292.69    276.55    184.53    219.60    103.62    569.28    469.16    600.81    374.99    463.74 
   160    3555.06    363.94     90.68     58.84          292.78    276.32    184.53    219.55    103.64    569.27    469.33    600.81    374.99    463.84 
   161    3554.89    364.11     90.68     58.87          292.77    276.14    184.65    219.73    103.66    569.24    469.15    600.84    374.85    463.84 
   162    3554.56    364.44     90.66     58.77          292.81    276.10    184.65    219.68    103.54    569.19    468.91    600.97    374.86    463.85 
   163    3554.53    364.47     90.65     58.73          292.78    276.26    184.52    219.66    103.48    569.30    468.88    601.11    374.51    464.04 
   164    3555.11    363.89     90.68     58.82          292.77    276.26    184.48    219.79    103.59    569.10    468.84    601.13    374.95    464.21 
   165    3555.18    363.82     90.67     58.76          292.66    276.21    184.37    219.80    103.53    569.24    468.75    601.55    374.86    464.21 
   166    3555.54    363.46     90.67     58.79          292.77    276.25    184.45    219.52    103.60    569.38    468.76    601.70    374.79    464.32 
   167    3555.62    363.38     90.68     58.84          292.83    276.41    184.48    219.49    103.65    569.37    468.65    601.80    374.58    464.36 
   168    3554.87    364.13     90.66     58.73          292.95    276.33    184.40    219.45    103.57    569.04    468.60    601.74    374.51    464.28 
   169    3555.46    363.54     90.67     58.77          293.10    276.35    184.43    219.30    103.59    569.04    468.75    601.95    374.43    464.52 
   170    3555.24    363.76     90.66     58.75          292.99    276.54    184.50    219.42    103.48    569.05    468.96    602.05    374.02    464.22 
   171    3555.80    363.20     90.68     58.81          292.95    276.67    184.53    219.39    103.54    569.08    468.99    602.27    374.02    464.36 
   172    3555.85    363.15     90.68     58.82          292.91    276.70    184.49    219.33    103.59    569.17    468.90    602.31    373.87    464.59 
   173    3555.94    363.06     90.68     58.81          292.88    276.56    184.53    219.43    103.54    569.25    468.90    602.39    373.90    464.54 
   174    3556.23    362.77     90.68     58.85          292.85    276.51    184.59    219.57    103.49    569.40    468.98    602.28    373.83    464.74 
   175    3555.86    363.14     90.67     58.83          292.89    276.53    184.53    219.63    103.47    569.46    468.91    602.05    373.66    464.73 
   176    3555.67    363.33     90.67     58.82          292.86    276.51    184.44    219.76    103.47    569.20    468.83    602.12    373.52    464.95 
   177    3555.47    363.53     90.65     58.74          292.86    276.55    184.31    219.67    103.38    569.48    468.72    602.13    373.42    464.95 
   178    3555.49    363.51     90.66     58.77          292.91    276.41    184.38    219.79    103.38    569.49    468.78    602.20    373.40    464.76 
   179    3555.81    363.19     90.66     58.81          292.94    276.42    184.46    219.93    103.33    569.53    468.75    602.25    373.27    464.93 
   180    3555.91    363.09     90.67     58.84          293.04    276.60    184.42    220.01    103.29    569.52    468.71    602.11    373.09    465.12 
   181    3555.91    363.09     90.66     58.80          292.96    276.67    184.35    219.92    103.27    569.55    468.64    602.11    373.45    464.99 
   182    3556.00    363.00     90.66     58.75          292.81    276.47    184.34    219.93    103.23    569.79    468.60    602.40    373.34    465.10 
   183    3555.90    363.10     90.65     58.69          292.81    276.49    184.34    219.78    103.16    569.84    468.74    602.29    373.16    465.29 
   184    3555.18    363.82     90.63     58.64          292.82    276.46    184.29    219.82    103.19    569.59    468.43    602.23    373.20    465.15 
   185    3555.52    363.48     90.64     58.68          292.86    276.44    184.30    219.72    103.24    569.71    468.49    602.17    373.29    465.31 
   186    3555.95    363.05     90.64     58.65          292.85    276.49    184.34    219.68    103.10    569.65    469.03    602.18    373.22    465.41 
   187    3556.21    362.79     90.65     58.67          292.87    276.56    184.35    219.67    103.10    569.62    469.04    602.16    373.17    465.67 
   188    3555.96    363.04     90.64     58.63          292.97    276.68    184.48    219.56    103.01    569.53    469.10    602.05    373.09    465.51 
   189    3556.24    362.76     90.64     58.60          293.04    276.52    184.59    219.66    102.87    569.49    469.09    602.22    373.11    465.66 
