constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Linear  
MABsolver_config: params: numInputs:  3  
MABsolver_config: params: weights:  [  0.452300  -0.443900  0.172100  0.249100  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 
    56    52353.54   2498.96     91.13     48.00           81.21     76.57     71.00     19.57     -2.98     23.25     46.07     55.27     95.42     62.26     99.21     98.44     10.71     99.60     13.93     22.62     66.93      0.00     64.54     24.52     39.43     28.29     82.87     17.37     63.00     31.19     10.38     17.29     18.09     54.90     82.46     24.41     27.85     70.26     62.48     62.51     55.24 
    57    52350.40   2502.10     91.11     47.89           81.05     77.10     71.23     19.39     -4.58     24.16     46.02     55.36     95.21     61.77     99.15     98.16      6.32     99.60     14.74     23.27     66.70     -0.70     63.37     24.82     40.07     28.25     82.44     18.07     63.00     31.41     10.22     18.64     18.95     54.33     82.46     25.02     26.93     70.02     62.47     62.36     55.29 
    58    52347.34   2505.16     91.08     47.86           81.41     77.03     70.93     18.16     -4.41     24.17     45.94     55.27     94.76     61.95     99.15     98.23      6.21     99.60     16.21     23.22     66.17     -1.72     65.14     24.87     40.55     28.33     82.44     17.21     63.00     29.57     10.53     18.02     20.25     54.61     82.43     24.28     27.04     69.90     62.58     62.43     55.23 
    59    52346.95   2505.55     91.06     48.01           81.08     76.77     70.03     19.19     -5.18     24.81     45.36     55.51     95.00     61.51     99.16     98.47     12.54     99.60     17.63     23.16     65.69     -3.73     68.37     24.56     42.10     28.25     82.52     16.93     63.00     30.15      9.47     16.38     20.18     54.37     82.44     24.82     26.38     70.04     62.45     62.31     55.07 
    60    52341.80   2510.70     91.04     47.80           81.80     76.16     70.50     18.71     -3.89     25.25     45.22     54.82     95.07     61.57     99.17     98.50      6.67     99.60     18.00     22.22     65.63     -4.00     68.60     22.22     40.67     28.23     82.60     16.62     63.00     30.61     11.20     17.29     20.79     53.81     82.40     25.67     24.68     69.98     62.19     62.00     55.05 
    61    52338.69   2513.81     91.02     47.95           82.23     75.80     70.79     17.95     -2.28     25.13     44.52     55.11     95.15     61.36     99.19     98.32     13.77     99.60     20.00     21.97     65.48     -5.25     68.23     22.97     42.43     28.16     82.62     14.87     63.00     31.01     11.21     15.50     20.56     53.73     82.42     26.00     23.46     69.88     62.06     61.87     55.18 
    62    52336.66   2515.84     91.01     47.92           82.71     75.48     70.94     18.15     -1.79     25.15     44.55     55.24     94.86     61.22     99.35     98.15     18.71     99.60     19.68     21.29     64.68     -6.45     65.94     21.98     41.94     28.19     82.69     15.38     63.00     30.90      7.18     16.73     21.40     54.26     82.40     25.14     25.46     69.83     61.98     61.63     55.36 
    63    52334.75   2517.75     91.01     47.97           83.21     75.41     71.21     18.86     -2.38     24.76     44.83     55.01     94.90     60.63     99.37     98.10     17.78     99.60     20.00     20.85     65.14     -4.44     67.05     21.27     39.43     28.20     82.71     15.49     63.00     32.00     10.22     16.53     21.79     54.00     82.39     25.39     24.16     69.82     61.84     61.36     55.39 
    64    52334.98   2517.52     91.03     48.13           83.66     74.65     71.59     18.87     -1.74     24.58     45.04     54.94     94.97     60.94     99.42     98.09     20.00     99.60     18.75     21.25     64.13     -3.44     67.28     22.04     41.25     28.19     82.85     16.17     63.00     32.46      9.75     17.79     21.80     52.49     82.41     25.69     23.90     69.72     61.70     61.61     55.45 
    65    52337.05   2515.45     91.03     47.91           83.72     73.89     71.54     18.89     -2.56     24.25     45.45     54.66     94.70     61.06     99.46     98.00     13.85     99.60     17.85     22.05     63.63     -3.08     66.68     20.78     43.88     28.31     82.98     17.57     63.00     32.81      7.90     16.31     22.40     51.56     82.46     26.40     24.14     69.99     61.66     61.59     55.47 
